Task_ID,Pod_Name,Domain,Component_Path,Task_Description,Dependencies,Acceptance_Criteria,Test_File_Path
T01,auth,SHARED,prisma/schema.prisma,"Unified Prisma schema for User, AuditLog, ConsentLog, Customer, Resource, Appointment, Encounter, Claim",None,"Valid Prisma schema; npx prisma validate passes",tests/schema.test.ts
T02,auth,SHARED,src/config/env.config.ts,"Zod/dotenv environment parser for DB keys, API keys, AES keys",None,"Throws error on missing required env vars",tests/config/env.test.ts
T03,auth,SHARED,src/config/pod.config.ts,"Config object with domainMode, compliance toggles, and security settings",None,"Type-safe config exporting domainMode and compliance flags",tests/config/pod.test.ts
T04,auth,SHARED,src/shared/db/prisma.ts,"Extended Prisma Client with dynamic AES-256 field encryption",T01;T03,"Encrypts SSN/Phone on create; Decrypts on read when encryptSensitiveData=true",tests/shared/prisma-crypto.test.ts
T05,auth,AUTH,src/pods/auth/backend/auth.router.ts,"JWT Auth Router with login, bcrypt password hash, and HttpOnly cookies",T04,"POST /login returns 200 with JWT cookie; rejects bad pass with 401",src/pods/auth/backend/__tests__/auth.test.ts
T06,auth,AUTH,src/pods/auth/backend/auth.middleware.ts,"RBAC checkRole middleware and HIPAA Audit Logger",T05,"Blocks unauthorized roles; creates AuditLog row in DB on PHI access",src/pods/auth/backend/__tests__/middleware.test.ts
T07,scheduling,SCHEDULING,src/pods/scheduling/backend/slot-calculator.service.ts,"Engine calculating free time slots based on resource availability schedules",T04,"Generates valid 30-min slots ignoring booked appointments",src/pods/scheduling/backend/__tests__/slot-calc.test.ts
T08,scheduling,SCHEDULING,src/pods/scheduling/backend/scheduling.router.ts,"REST endpoints for slot listing, booking, and appointment status transitions",T07,"POST /appointments creates booking; PATCH /status updates state",src/pods/scheduling/backend/__tests__/scheduling-api.test.ts
T09,scheduling,SCHEDULING,src/pods/scheduling/backend/adapters/health.adapter.ts,"Healthcare adapter listening to CHECKED_IN event to auto-create Encounter & mock EDI 270 check",T08,"When domainMode=HEALTHCARE; status CHECKED_IN creates Encounter in DB",src/pods/scheduling/backend/__tests__/health-adapter.test.ts
T10,scheduling,SCHEDULING,src/pods/scheduling/backend/adapters/generic.adapter.ts,"Generic adapter handling non-healthcare modes (Stripe deposits/webhooks)",T08,"When domainMode=SALON; handles check-in without touch on Healthcare DB tables",src/pods/scheduling/backend/__tests__/generic-adapter.test.ts
T11,clinical,CLINICAL,src/pods/clinical/backend/scribe-ai.service.ts,"OpenAI Whisper audio-to-text + Claude 3.5 Sonnet JSON SOAP note extraction",T04,"Accepts binary audio; returns structured JSON SOAP object",src/pods/clinical/backend/__tests__/scribe.test.ts
T12,clinical,CLINICAL,src/pods/clinical/backend/rag-guidelines.service.ts,"pgvector similarity search using Prisma $queryRaw for clinical guidelines",T04,"Performs vector search and returns cited LLM responses",src/pods/clinical/backend/__tests__/rag.test.ts
T13,rcm,RCM,src/pods/rcm/backend/cac-coder.service.ts,"Claude 3.5 Sonnet mapping signed SOAP notes to ICD-10 and CPT codes",T11,"Populates EncounterDiagnosis and EncounterProcedure with aiSuggested=true",src/pods/rcm/backend/__tests__/cac.test.ts
T14,rcm,RCM,src/pods/rcm/backend/claim-scrubber.service.ts,"CCI edits validator and AI denial risk score calculator",T13,"Returns scrubRiskScore (0.0 to 1.0) and lists validation flags",src/pods/rcm/backend/__tests__/scrubber.test.ts
T15,rcm,RCM,src/pods/rcm/backend/edi837-generator.service.ts,"Constructs ANSI X12 EDI 837P batch claim text string from Prisma data",T14,"Generates valid X12 837 transaction set string",src/pods/rcm/backend/__tests__/edi837.test.ts
T16,rcm,RCM,src/pods/rcm/backend/edi835-parser.service.ts,"Parses raw EDI 835 ERA strings to update Claim status to PAID or DENIED",T15,"Extracts CARC codes and updates Claim records accurately",src/pods/rcm/backend/__tests__/edi835.test.ts
T17,compliance,COMPLIANCE,src/pods/compliance/backend/anonymizer.service.ts,"GDPR/DPDPA data subject erasure pipeline (Right to be Forgotten)",T04,"Anonymizes PII fields while retaining required medical records",src/pods/compliance/backend/__tests__/erasure.test.ts
T18,frontend,UI,src/app/client/AppShell.tsx,"Dynamic AppShell reading podConfig to register routes and sidebar links",T03;T05,"Displays only active Pod routes; handles domain labels dynamically",src/app/client/__tests__/AppShell.test.tsx
